Unique Identifier	Identifier Source	Meida Type	Physical Format	Digital Format	Encoding	File Size	Generations	Duration	Location	Title	Asset Type	Asset Date	Subject(s)	Description	Description Type	Genre	Genre Authority Used	Relation	Relation Type	Coverage	Coverage Type	Language	Creator	Creator Role	Contributor	Contributor Role	Contributor	Contributor Role	Contributor	Contributer Role	Publisher	Publisher Role	Rights Summary	Annotation	Unique Item?	Notes	Cataloger	Last Updated
cpb-aacip/127-74cnpfr2	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	132.7 MB	Access	00:20:38	Summit Day Media	Waves of Wisdom 50	Episode	1980/1999	Indigenous elders, Indigenous men, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Community houses, Survival, Ancestors, Walking sticks, Indigenous healers, Childhood, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Ukverput, Agayuliyaraq, Ellam Yua, Angalkut, Angalkuut, Anangnaqsaraq Yuilqumi, Ukverput, Qasgiq, Qaygiq, Naulluun, Qenan, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Apaqutaq Dick Andrew. He talks about the passing of his wife Elena, growing up in the community house, essential items for traveling, waiting out bad weather while traveling, how to sleep in snow if without a tent, sinking into water, warming up after falling into cold water, ancestors not getting sick in old times, shamans and some of their abilities, and the Spirit of the Universe. Yugtun: Qanemciluni Paaskaam nalliini Elena Andrew-m piunrillranek, qasgimi anglillerminek Kayalivigmi, yaatemeggni Cuukvagtulirmiunek, pinarilriit tan’gaurluut natermi qavatullermeggnek, apa’urluminek-llu anglicarterluni qavaumavkaumayuitellerminek. Qalarrluni tegganret quyungqanriameng cimillruciatnek, piyugngacimitun ayagyuat qalarutetuniluki, tegganret ayagallerkam tungiinun alerquutaitnek, ayakatalriani taquarkanek cassuutnek-llu, ellaqerrutellriani callerkaitnek, kit’ellerminek-llu. Qalarrluni Ellam Yuanek ukvengqellratnek, tuunrangayagmek qanyuitellratnek, angalkut tuunritullratnek, angalkut ella kitugtetullratnek yuut-llu mamevkatullratnek, angalkut-llu cikirluki ilateng ikayuusqetullratnek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Apaqutaq Dick Andrew (Kayalivik)	Interviewee	Aqumgaciq John Active	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-74qjqbsc	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	138.9 MB	Access	00:21:35	Summit Day Media	Waves of Wisdom 51	Episode	1980/1999	Indigenous elders, Indigenous men, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Indigenous sovereignty, Spirtuality--Indigenous, Parenthood, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Nunavut, Nunam Auluksaraa, Nunam Ataniuryaraa, Ellam Yua, Cellam Yua, Cillam Cua, Ukverput, Agayuliyaraq, Elitnaurvik, Ukverput, Inerquutet, Qanertet, Qanrucistet, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with Maqista Ac'urunaq Joshua Phillip about the Spirit of the Universe, respecting and following the instructions of elders, traditional wisdom, Yup'ik governing their own land instead of white people, raising children with love, and sharing knowledge with everyone not just one's own children. Yugtun: Qalarrluni Ellam Yuanek tangvagtengquratucimteńek, qanrucunarluteng qanruyutet maligtaqusqelluki, maligtaquyaram umyuarturinarqucianek, qanruyutet-llu maligtaqustait qanerteńgurtetuciatnek. Qalarrluni yuut assilriit piciryaraitnek nallunriryaraitnek, tunciurteńi anglillerminek, yuut inglukucuitellratnek, nunarraat pillgutekluteng nuna aulukesqumaniluku, Yugni-llu nunaput ataniuresqumaniluki. Qalarrluni alerquutet Qaneryarani Qulen Alerquutetun ayuqniluki, umyuaqaciit irniateng kiingita inerqulauciatnek, umyualinqigtellriit-llu ayuqucillermeggnun utertesqevkenaki.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Maqista Ac'urunaq Joshua Phillip (Tuluksak, Qinaq)	Interviewee	Arnaraq Mary Gregory	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-76f1vspw	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	109.1 MB	Access	00:16:55	Summit Day Media	Waves of Wisdom 52	Episode	1980/1999	Indigenous elders, Indigenous men, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Cup'ik, Cup'it, Cupiit, Indigenous sovereignty, Community houses, Indigenous ethics, Sod houses, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Neqpiaq, Enepiaq, Enpiaq, Ukverput, Qanruyutet, Qaneryarat, Inerquutet, Qasgiq, Qaygiq, Tegganeq	English: Interview with elder Nauciralrea Joseph Friday about community houses and learning traditional wisdom as a boy, not treating people badly if they treat you badly, how houses were built, not being mischevious like white people, and passing along traditional wisdom in schools. Yugtun: Qanemciuq angayuqaagminun qasgimun cingumallerminek, qacarneret atritnek, angutet qasgimiungullratnek, angukara’urlurnek angutnek-llu qaneryaramek egelracilrianek, quyigingnaqevkenateng, tegganret-llu ikayuusqelluki. Qanemciuni Qissunami yuurtellerminek, angllurraarluni ikamraryaurtellerminek, nunat ilaitnun ayaasqumanritlerminek, kiutaaresqevkenani inerquumallerminek, arcayaguskuniki-llu pitatni kiusqelluki. Qanemciluni ciuliateng pirpaktullruniluki, maa-i-llarnek enengellranek, nevumek muragnek evegnek-llu enepianek, arnat uitayuitellratnek, enemeggni tupiganek curungqetullratnek, enelgutkellriit-llu tupiganek caputengqellratnek.Qalarrluni Yugnun nunam pikucianek, cimingraata Yuut ikayuulluteng pisqelluki, kinguverminun qaneryaranek kinguvatullerminek, elitnaurvigteng teguluku ataniuryaurtellermeggnek, tutgaraminek-llu elicarangqerruciminek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Nauciralrea Joseph Friday (Chevak)	Interviewee					American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip-127-27mpg9n0	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	143.9 MB	Access	00:22:21	Summit Day Media	Waves of Wisdom 53	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Family, Spring camp, Sealing, Hunting, Songs, Indigenous music, Indigenous peoples--North America--Music, Indigenous peoples--Alaska--Music, Shamans, Supernatural, Dreams, Aging, Marriage, Spouses, Stalking victims, Indigenous healers, Traditional medicine--North America, Traditional medicine--Alaska, Home brewing, Drug abuse, Indigenous peoples--Alcohol use--North America, Death, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Ukverput, Agayuliyaraq, Angalkut, Angalkuut, Qanruyutet, Qaneryarat, Ukverput, Tegganeq, Inerquutet	English: Interview with elder Aqesgirpak Mary Worm about shamans, being taught wisdom, the way elders' bones used to crack and make popping sounds, her grandmother's married life and her needing to be healed by a healer to stop a man pursuing her. Yugtun: Qanemciuq qanernailngurnek angalkunek ikayuqengtulrianek, angalkunek yugnek assirivkatullernek, angalkut meci’irviitellratnek, angalkut-llu umyuarrliquciitnek utercecaraitnek-llu. Qanemciluni nunurnganateng qalartetullernek, qalarutellriani qanrit murilkelaasqelluki, ayainanermini qanruyutet elitaqaqniluki, qaneryarat-llu pulengtetullratnek. Qanemciluni maurlumeng qanemciinek, angalkumek uingellranek caksuilkeminek, Cakcaarmiuni Qaluyaat nuniitni uinguangellranek, payuggnginanermini uinguani tangerrsukellranek, uterrluni callerminek qanrutellranek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Aqesgirpak Mary Worm (Kongiganak)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	 Not on AAPB website. This is a clip from the last half of Waves of Wisdom 33. (Old GUID: cpb-aacip/127-79h44thw)	Juliana Clark	2022-08-10
cpb-aacip/127-81jhb5w6	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	144.7 MB	Access	00:22:27	Summit Day Media	Waves of Wisdom 54	Episode	1980/1999	Indigenous elders, Indigenous men, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Christianity, Christians, Priests, Indigenous religious leaders, Indigenous peoples--North America--Religion, Herders, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Uyaqum Igaryarai, Ungungssit, Yuilqurmiutaat, Nunamiutaat, Tuntu, Ukverput, Agayuliyaraq, Agayumayaraq, Agayumaciq, Agayulirtet, Qaneryaraq, Qaneryaraqegtaar, Anangnaqsaraq Yuilqumi, Pirtuk, Pirta, Qulirat & Qanemcit, Ukverput, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with Aalika'ar Alexie Mochin about how he became a pastor and his experience as a reindeer herder. Yugtun: Qanemciluni agayulirteńgullerminek, aatiin Robert-aamek Akiarmiumek kelellranek, Robert-aamun Qaneryaranek elicungcallerminek, Uyaqum igaryaraikun yuarutmek eliteqerraallerminek, agayulirteńgullermini-llu kalikaunani Qaneryariutullerminek. Qanemciluni tuntulgutellerminek, reindeer brands, naqugutkun qukaan cuqtellranek, pirtugmi naqugutem qanikcaq itercessngailucianek, natmurtaqami nuusilgilaasqumallerminek, tunciuryaram qanruyutaikun agayulirteńgullerminek, yungqerrata tuntut akngirtesqevkenaki, qanellri-llu nalluyagutesqevkenaki.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Aalika'ar Alexie Mochin (Nanvarnarrlak?, Atmautluak)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-84mkm6tr	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	40.5 MB	Access	00:06:20	Summit Day Media	Waves of Wisdom 55	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditinal wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Christianity, Christians, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Ukverput, Agayuliyaraq, Agayumayaraq, Agayumaciq, Qaneryaraq, Qaneryaraqegtaar, Ukverput, Qanruyutet, Qaneryarat, Inerquutet, Tegganeq	English: Interview with elder Winifred Beans about living with faith and Yup'ik wisdom. Yugtun: Qalarrluni ellmeggnek ataneqesqevkenaki, Agayutem wall’u Yupiit alerquutaitnek yuut ukvengqerrarkauniluki, taangam kuingirrluum-llu iquggliqnarquciagnek, agayutem-llu wall’u Yupiit qaneryarait ukveresqelluki.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Winifred Beans (Saint Mary's, Mountain Village)	Interviewee	Kakianeq Adolph Lewis (Kuigilnguq, Kwigillingok)	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-085hqfqk	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	205.1 MB	Access	00:31:55	Summit Day Media	Waves of Wisdom 56	Episode	1980/1999	Indigenous elders, Indigenous men, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, White whale, Muskrat, Voles, Survival, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Cetuaq, Assigarnaq, Ilegvak, Kevgaluk, Tevyuli, Iligvak, Kuiguartaq, Ugugnaraq, Uugnar, Anag, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	Interview with elder Ackiar Nick Lupie about subsistence foods he ate growing up such as birds, fish, muskrats, belugas. He talks about food that can be eaten if you are stranded somewhere and how to melt snow for water. He also gives instructions on how to not freeze if someone falls in water during the snowy season. English translation cuts off at 00:17:32.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Ackiar Nick Lupie (Tuntutuliaq, Tuntutuliak)	Interviewee	Uquuviar Olinka "Ollie" Andrew	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	Partially translated.	Juliana Clark	2022-08-10
cpb-aacip-127-79573zv7	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	144.7 MB	Access	00:22:27	Summit Day Media	Waves of Wisdom 57	Episode	1980/1999	Indigenous men, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Suppression of language, Schools, Learning, Alaska Native radio stations, Yugtun Qalarcaraq, Qaneryaraq, Yugtun Qalartesqevkenaki, Yugtun Kass’atun-llu Elitnauryaraq, Elitnaurvik, Takaqiyaraq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Nurataaq Nelson Angapak gives a talk at the Kukskokwim Campus about the imporatnce if listening to elders, being told not to speak Yup'ik in school, and the importance of passing on Yup'ik culture. Yugtun: Qanemciluni elitnauryaram cimillrucianek, elitnauqerraallermini qitevtesciigalnge’rmi elitnaurviim avatiini qitevtesqelluni ellimerumallerminek, maa-i Yugtun Kass’atun-llu elitnauryauruciatnek, Yugtun qalartesqevkenateng ellimerumallermeggnek, maa-i Yugtun elitnaurluki cingumaluki-llu qalartesqelluki, Yugtun-llu qaneryaram piciryaramteńi angelriarucianek. 	Item	Talk, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Nurataaq Nelson Angapak (Tuntutuliak, Tuntutuliaq, Anchorage)	Interviewee					American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes	Not on AAPB website. (Old GUID: cpb-aacip/127-85n8pw5n)	Juliana Clark	2022-08-10
cpb-aacip/127-86nzsk0r	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	89 MB	Access	00:13:49	Summit Day Media	Waves of Wisdom 58	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Colonization, Westernization, Schools, Parenting, Married life, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Aipangyaraq, Aipaqsaraq, Kass’at Tekiteqerraallratni, Elitnaurvikarraat, Elitnaurvik, Ukverput, Anglicarillerkaq, Tukercaryaraq, Taangaq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elder Panigkaq Freda Beaver about the arrival of white people, the building of a school in Anuuraaq, raising children, being a good wife, and she warns against using drugs and alcohol. Yugtun: Qanemciuq ellangeqarraallermeggnek, qavcirraat Kass’at alikellruniluki, Anuuraametellratni elitnaurvikarraamek, angayuqrita elitnauresqumanritellratnek, elitnaurviit akusrarrnarqelrianek ayagnirciqnillratnek, ataucirqumek-llu elitnauryarraarluni uitasqeńgatni uitallerminek. Qalarrluni irniangekuneng pikaceteng qimaasqelluki, aipateng kenkesqelluki, allaliurpakarluteng aipaqenrilkemeggnek irniangetuniluki, ciuliat atullermeggnek tangllermeggnek-llu alerquituciatnek, irniateng-llu ceńirutesqevkenaki.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Panigkaq Freda Beaver (Kwigillinkgok)	Interviewee	Uquuviar Olinka "Ollie" Andrew	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-87brvbt5	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	93.2 MB	Access	00:14:31	Summit Day Media	Waves of Wisdom 59	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Traditional practice, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Roseroot, Rosewort, Mare's tail, Quarruuget, Stickleback, Voles, Seal oil, Traditional Medicine--Alaska, Indigenous peoples--Health and hygiene--Alaska, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Makirayaraq, Yugtaat, Caqlaq, Caqlat, Uquq, Qanruyutet, Qaneryarat, Tuqu Naullun-llu, Qenan-llu, Unatellget, Tegganeq, Inerquutet	English: Interview with Cikiraq Jane Green and two other unidentified elders. They talk about traditional medicines and plants, traditional wisdom, and how alcohol and druge use should be avoided. Yugtun: Qalartuq caqlamek yuungcautmek, igyariqellermi iluliqellermi-llu utumarillragnek, acilqurrit kiingita nertuniluki, Yugtaat iinrut Kass’artarnek cimillratnek, aipangvailegmi akusrartellerkaanek aaniin inerquutiinek, maurluni aanaksuktullerminek, kiimi paniullerminek, quserpagluteng [TB] alqami piunrillratnek, unguvaasqelluni-llu iinrunek nerqumatullerminek. Qanemciluni anglillermini angayuqaagni niitengnaquratullerminek, inerciigalnguut allani nunani elitaqtuniluki, ilani naklekesqelluki, qanruyutet unimesqevkenaki, angayuqateng-llu takaqesqelluki. Qanemciluni kinguvemegnek, taangam kuingirrluum-llu assiiluciagnek, kuingirrluum-llu qavaumanarqucianek nalluyagutnarqucianek-llu.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Hooper Bay, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Cikiraq Jane Green (Hooper Bay), Margaret Smart? Bell? (Hooper Bay)	Interviewees	Sophie Kusak	Interviewer	Dean Swope	Camera Operator	American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-87pnw7r9	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	112.9 MB	Access	00:17:36	Summit Day Media	Waves of Wisdom 60	Episode	1980/1999	Indigenous elders, Indigenous women, Traditional knowledge, Traditional wisdom, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Marriage, Spouses, Spousal abuse, Holidays, Thanksgiving, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Quyayaraq, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	Interview with Miisaq Milton Lewis. He talks about when he learned about Thanksgiving, a piece of traditional wisdom that boys were taught if they married someone from another village and had to move, he advises viewers not to abuse their spouses, and talks about a surgery he had to remove stones from his organs.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Miisaq Milton Lewis (Kwigillingok)	Interviewee	Atmak Lillian Michael	Interviewer			American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
cpb-aacip/127-89r22kjv	AAPB ID	Moving Image	U-matic	Video/quicktime	MPEG-4 AVC	140.5 MB	Access	00:21:46	Summit Day Media	Waves of Wisdom 61	Episode	1980/1999	Indigenous elders, Indigenous men, Alaska Natives, Indigenous peoples--North America, Indigenous peoples--Alaska--Languages, Yugtun, Yup'ik, Yupiit, Christianity, Christians, Holidays, Christmas, Orphans, Villages, Cemeteries, Cemetery, Alaska Native radio stations, Indigenous peoples--North America--Interviews, Nunat Mer’et-llu Atrit, Nukalpiaq, Ukverput, Agayuliyaraq, Agayumayaraq, Agayumaciq, Qaneryaraq, Qaneryaraqegtaar, Kass’at Tekiteqerraallratni, Elitnaurvik, Elitnaurvikarraat, Ukverput, Qanruyutet, Qaneryarat, Slaaviq, Kass’artaat, Kalukat, Tegganeq, Qanruyutet, Qaneryarat, Inerquutet	English: Interview with elders Qugiciq Nicholai and Angut'aq Olenka Nicholai about the population of Kwethluk in the past, where different people lived, Qugiciq growing up as an orphan, memories of his parents' graves, the death of his mother, Russian Christmas, great hunters, and Angut'aq talks about young people losing Yup'ik culture and how the Bible teaches much of the same lessons as traditional wisdom. Yugtun: Ikirun. Qanemciuq Kusquqvagmi yugyallrunrilucianek, yuguanek qungunek-llu, ellangellermini Kuigglugmiut enaita nanlucillratnek, Slaavillermeggnek, erpailgan-llu aturyartulriit qaqitellruciatnek. Qanemciluni qungullernek, Paniluun aatiin enellranek napat akuliitni, elitnauqacuallermini Kass’amek tangerqerraallerminek, mikelnguullgutni-llu uksuarmi elitnauryatullermeggnek, Kuinerrarmiut kuigata kangranun ayallermeggnek, aatami piunrillruacianek, ilani-llu allanek ilaunateng tamaantellermeggnek. Qalarrluni qanruyutnek niicuiruyuciatnek, ayagyuat niicugniyuiruyuciatnek, Yugtun qalarcaram cagmariinalriacetun picianek, agayuvigtaat-llu Yuut qaneryaraicetun ayuquciatnek.	Item	Interview, Ethnic (Nonfiction), Ethnographic	Library of Congress Moving Image Genre-Form Guide	Waves of Wisdom Series	Is Part Of	Yukon-Kuskokwim Delta, Alaska	Spatial	Yugtun	KYUK	Executive Producer	Qugiciq Nickolai K. Nicolai (Kwethluk, Kuiggluk), Angut'aq Olinka Nicholai (Kwethluk, Kuiggluk)	Interviewees	Aqumgaciq John Active	Interviewer	Dean Swope	Camera Operator	American Archive of Public Broadcasting	Distributor	Copyright Holder: KYUK-TV, Bethel Broadcasting, Inc., 640 Radio Street, Pouch 468, Bethel, AK 99559 ; (907) 543-3131 ; www.kyuk.org	Library of Congress Subject Headings, Indigenous Subject Headings by the Association for Manitoba Archives LCSH revisions, Library of Congress Moving Image Genre/Form Guide, Yup'ik Eskimo Dictionary 2nd Edition by Steven A. Jacobson, http://yugtun.com/ 	Yes		Juliana Clark	2022-08-10
